path,sha256,origin,rights_status,purpose
assets/ui/swipecut-ui-reference.jpg,29cf663f7e3c559588ab88af78d4a396f0836cc2112194233212bb974e232056,https://pbs.twimg.com/media/HMU_bB4XMAAQYzX?format=jpg&name=large,third_party_design_reference_only,UI inspiration
assets/research/historical-complex-architecture.png,77a7ec8912d151582d1ef994bf94a880f414ac4f1c889e68a5553a850bbf68d0,user screenshot,historical_research_only,Superseded architecture evidence
assets/research/historical-avatar-ranking.png,07c45d40d809216a37245c74a0535b0816391bf9fbdbf0e466fc086ef365627c,user screenshot,historical_research_only,Superseded model-ranking evidence
evidence/source-briefs/product-brief-original.txt,972227ced3f7d9425c8bbe3887fe14a1382eda85bb8c53279202b3be318f1f96,user attachment,user_provided_source,Original product brief
evidence/source-briefs/visual-identity-original.txt,a683b6389f63487174a209c74c16c12e2075d310f9ab752b0aed1b6ff0aa6835,user attachment,user_provided_source,Original visual analysis
references/ranga/frames/ranga-watermelon-opening-rhythm.jpg,0f908c9a0f927eb76d97f33ef47256656fff968f88d779e2c94ee78a554bd611,https://www.youtube.com/watch?v=6jZ7ib2Edes,third_party_reference_only,Cadence sheet
references/ranga/frames/ranga-mosquito-opening-rhythm.jpg,c14c5344517f25a2a5e7ee91bde1d39602f3b01df6e67a3fa91593873bba6da1,https://www.youtube.com/watch?v=cVotLLx5bNs,third_party_reference_only,Cadence sheet
../apps/web/public/fixtures/avatar/amish-farm-host.svg,e3b25f5244dc6d3db553b1926fab7bbffa6333b85201afd079f51cd1f0b64edd,repository_source_authored_svg,owned_synthetic_fixture,Reusable Avatar Hub thumbnail
../apps/web/public/fixtures/media/watermelon-market.svg,63bcbac886c3cee629d984d263bc394a080ed1b27acec55ff650c23927cc364c,repository_source_authored_svg,owned_synthetic_fixture,Project preview frame
../apps/web/public/fixtures/styles/documentary-field.svg,294dbdee925e741666b1b06e79a9a35300352d5827ebb208d7bee05bde5ef828,repository_source_authored_svg,owned_synthetic_fixture,Built-in documentary owned example
../apps/web/public/fixtures/styles/documentary-market.svg,9521cbb4a3404c86d8b88e1982c93b7b4c747912ba24413a7e2c4dd93f56e95c,repository_source_authored_svg,owned_synthetic_fixture,Built-in documentary owned example
../apps/web/public/fixtures/styles/documentary-stock.svg,91f932a42567151bb63e5198de79a13750bf06f7e96c39712a6e4df3ee362ca7,repository_source_authored_svg,owned_synthetic_fixture,Built-in documentary style cover
../apps/web/public/fixtures/styles/documentary-workshop.svg,9e9a01e04f17302ae7c3350121070f9bff01ac84937881d6141f757afa81b964,repository_source_authored_svg,owned_synthetic_fixture,Built-in documentary owned example
../apps/web/public/fixtures/styles/rural-field.svg,4d8cbe0b8c9a996e37fbbf40ebb5b544b037a8f119c789ae157e763c4ffdaee0,repository_source_authored_svg,owned_synthetic_fixture,Custom-style reference fixture
../apps/web/public/fixtures/styles/rural-hands.svg,46e479511787331a624801cfaa664a73fa4f5d1a0c931cd24638cb4d309977e0,repository_source_authored_svg,owned_synthetic_fixture,Custom-style reference fixture
../apps/web/public/fixtures/styles/rural-kitchen.svg,a00492ddd7b4f0eedc9ff1ae2ea3ffcd4f89cd7c40f40ce19b277c17700a1e66,repository_source_authored_svg,owned_synthetic_fixture,Custom-style reference fixture
../apps/web/public/fixtures/styles/rural-market.svg,01aceda569315e7ef5bbcaea03b43cbce3705c32819bad9901c7d7a8b0e8f795,repository_source_authored_svg,owned_synthetic_fixture,Custom-style reference fixture
../apps/web/public/fixtures/styles/warm-rural.svg,321bfda9b6abf13f8c7da7740eddf356e942a30e1539e8461dc42cfe55cd42f7,repository_source_authored_svg,owned_synthetic_fixture,Custom-style cover fixture
